SiteID,FieldWetlandType,FieldVeldAge,FieldAliensWithin20m,Latitude,Longitude,PairID,RecordingNum,Year,Month,Day,Campaign,AVIRIS,LVIS,WetlandType,LandCoverClass,ElevationClass,FireClass
s2lam049_230930,"Not near (100 m) any water","Old (> 17 yrs)","None",-33.591932,23.40869,468,1143,23,9,30,"Dry season",Y,Y,,"Shrubland-Fynbos","High: >1000 m","No data or No Fire"
s2lam127_230707,"Not available","Not available","Not available",-33.591918,23.40867,468,1126,23,7,7,"Wet season",Y,Y,,"Shrubland-Fynbos","High: >1000 m","No data or No Fire"
s2lam002_231127,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-33.161856,18.045542,467,1265,23,11,27,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam024_230808,"Not available","Not available","Not available",-33.1619,18.045571,467,878,23,8,8,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam065_231020,"Within 50 m of a river or stream","Not available","Rare to Very Scattered",-33.981945,20.82496,466,1020,23,10,20,"Dry season",Y,N,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam139_230718,"Not available","Not available","Not available",-33.9819,20.825072,466,868,23,7,18,"Wet season",Y,N,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam088_230819,"Not available","Not available","Not available",-33.96792,23.53848,465,714,23,8,19,"Wet season",Y,Y,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam104_231125,"Not near (100 m) any water","Old (> 17 yrs)","None",-33.967888,23.538435,465,565,23,11,25,"Dry season",Y,Y,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam107_231004,"Within 50 m of a river or stream","Old (> 17 yrs)","None",-33.990746,22.698811,463,719,23,10,4,"Dry season",Y,Y,"Estuary","Wetland","Low: 0-500 m","No data or No Fire"
s2lam114_230617,"Not available","Not available","Not available",-33.990749,22.6988,463,567,23,6,17,"Wet season",Y,Y,"Estuary","Wetland","Low: 0-500 m","No data or No Fire"
s2lam030_231106,"Not near (100 m) any water","Intermediate (6-17 yrs)","None",-32.441368,19.195436,462,697,23,11,6,"Dry season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam046_230805,"Not available","Not available","Not available",-32.4414,19.1954,462,848,23,8,5,"Wet season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam027_230705,"Not available","Not available","Not available",-33.9065,19.158487,461,605,23,7,5,"Wet season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","17-to-25 years"
s2lam189_231123,"Not near (100 m) any water","Young (burned, < 6 yrs)","Scattered to Medium",-33.906443,19.158374,461,431,23,11,23,"Dry season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","17-to-25 years"
s2lam025_231109,"Not available","Not available","Not available",-33.929194,22.450878,460,982,23,11,9,"Dry season",Y,Y,,"Forest-Woodland","Medium: 500-1000 m","1-to-6 years"
s2lam145_230725,"Not available","Not available","Not available",-33.929234,22.450883,460,1009,23,7,25,"Wet season",Y,Y,,"Forest-Woodland","Medium: 500-1000 m","1-to-6 years"
s2lam027_231115,"Not near (100 m) any water","Intermediate (6-17 yrs)","Rare to Very Scattered",-34.110852,18.46338,459,589,23,11,15,"Dry season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam052_230710,"Not available","Not available","Not available",-34.11084,18.463375,459,583,23,7,10,"Wet season",Y,Y,,"Shrubland-Fynbos","Low: 0-500 m","No data or No Fire"
s2lam061_231113,"Within 50 m of a river or stream","Young (burned, < 6 yrs)","Scattered to Medium",-33.893397,22.422274,458,545,23,11,13,"Dry season",Y,Y,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam150_230814,"Not available","Not available","Not available",-33.8934,22.4226,458,1148,23,8,14,"Wet season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","1-to-6 years"
s2lam125_230815,"Not available","Not available","Not available",-33.340225,21.878355,457,1140,23,8,15,"Wet season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam160_231005,"Within 50 m of a river or stream","Intermediate (6-17 yrs)","None",-33.34018,21.878358,457,855,23,10,5,"Dry season",Y,N,,"Shrubland-Fynbos","Medium: 500-1000 m","6-to-12 years"
s2lam079_231103,"Not near (100 m) any water","Old (> 17 yrs)","None",-33.916046,22.957498,456,715,23,11,3,"Dry season",Y,N,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam104_230725,"Not available","Not available","Not available",-33.916014,22.957528,456,1008,23,7,25,"Wet season",Y,N,,"Forest-Woodland","Low: 0-500 m","No data or No Fire"
s2lam091_230727,"Not available","Not available","Not available",-33.9176,19.8716,455,1022,23,7,27,"Wet season",Y,Y,,"Agriculture","Low: 0-500 m","No data or No Fire"
s2lam163_231010,"Not near (100 m) any water","Old (> 17 yrs)","None",-33.917557,19.871622,455,1007,23,10,10,"Dry season",Y,Y,,"Agriculture","Low: 0-500 m","No data or No Fire"
s2lam095_231109,"Not available","Not available","Not available",-33.929169,22.452302,454,985,23,11,9,"Dry season",Y,Y,,"Forest-Woodland","Medium: 500-1000 m","1-to-6 years"
